Subregion,GID_0,NAME_0,RunCode,CandidateID,CandidateRegionID,ImporterV,EvidenceConfidence,Status
Sri Lanka singleton,LKA,Sri Lanka,lka,M67_GME_V2,M67_42_LKA_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Maldives singleton,MDV,Maldives,mdv,M67_GME_V2,M67_46_MDV_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Mongolia singleton,MNG,Mongolia,mng,M67_GME_V2,M67_49_MNG_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Pakistan singleton,PAK,Pakistan,pak,M67_GME_V2,M67_52_PAK_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Philippines singleton,PHL,Philippines,phl,M67_GME_V2,M67_54_PHL_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Democratic People's Republic of Korea singleton,PRK,Democratic People's Republic of Korea,prk,M67_GME_V2,M67_56_PRK_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Syrian Arab Republic singleton,SYR,Syrian Arab Republic,syr,M67_GME_V2,M67_60_SYR_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Tajikistan singleton,TJK,Tajikistan,tjk,M67_GME_V2,M67_61_TJK_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Turkmenistan singleton,TKM,Turkmenistan,tkm,M67_GME_V2,M67_62_TKM_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Timor-Leste singleton,TLS,Timor-Leste,tls,M67_GME_V2,M67_63_TLS_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Uzbekistan singleton,UZB,Uzbekistan,uzb,M67_GME_V2,M67_65_UZB_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Yemen singleton,YEM,Yemen,yem,M67_GME_V2,M67_67_YEM_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
