Subregion,GID_0,NAME_0,RunCode,CandidateID,CandidateRegionID,ImporterV,EvidenceConfidence,Status
Senegambia-western Sahel charcoal network,GNB,Guinea-Bissau,SWSAH,M67_GME_V2,M67_05_SENEGAMBIA_WESTERN_SAHEL,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Senegambia-western Sahel charcoal network,MRT,Mauritania,SWSAH,M67_GME_V2,M67_05_SENEGAMBIA_WESTERN_SAHEL,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Senegambia-western Sahel charcoal network,SEN,Senegal,SWSAH,M67_GME_V2,M67_05_SENEGAMBIA_WESTERN_SAHEL,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Gulf of Guinea charcoal network,BFA,Burkina Faso,GOG,M67_GME_V2,M67_07_GULF_OF_GUINEA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Gulf of Guinea charcoal network,CIV,C<U+00F4>te d'Ivoire,GOG,M67_GME_V2,M67_07_GULF_OF_GUINEA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Gulf of Guinea charcoal network,GHA,Ghana,GOG,M67_GME_V2,M67_07_GULF_OF_GUINEA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Gulf of Guinea charcoal network,TGO,Togo,GOG,M67_GME_V2,M67_07_GULF_OF_GUINEA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Angola-Namibia wood-energy corridor,AGO,Angola,ANAM,M67_GME_V2,M67_08_ANGOLA_NAMIBIA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Angola-Namibia wood-energy corridor,NAM,Namibia,ANAM,M67_GME_V2,M67_08_ANGOLA_NAMIBIA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Djibouti-Ethiopia charcoal corridor,DJI,Djibouti,DJET,M67_GME_V2,M67_10_DJIBOUTI_ETHIOPIA,1,sensitivity_explicit_direction_only,proposed_configuration_not_spatially_built_or_model_validated
Djibouti-Ethiopia charcoal corridor,ETH,Ethiopia,DJET,M67_GME_V2,M67_10_DJIBOUTI_ETHIOPIA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Comoros singleton,COM,Comoros,com,M67_GME_V2,M67_20_COM_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Cabo Verde singleton,CPV,Cabo Verde,cpv,M67_GME_V2,M67_21_CPV_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Eritrea singleton,ERI,Eritrea,eri,M67_GME_V2,M67_27_ERI_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Gabon singleton,GAB,Gabon,gab,M67_GME_V2,M67_28_GAB_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Equatorial Guinea singleton,GNQ,Equatorial Guinea,gnq,M67_GME_V2,M67_30_GNQ_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Liberia singleton,LBR,Liberia,lbr,M67_GME_V2,M67_40_LBR_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Lesotho singleton,LSO,Lesotho,lso,M67_GME_V2,M67_43_LSO_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Madagascar singleton,MDG,Madagascar,mdg,M67_GME_V2,M67_45_MDG_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Mali singleton,MLI,Mali,mli,M67_GME_V2,M67_48_MLI_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Mauritius singleton,MUS,Mauritius,mus,M67_GME_V2,M67_50_MUS_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Sierra Leone singleton,SLE,Sierra Leone,sle,M67_GME_V2,M67_57_SLE_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Sao Tome and Principe singleton,STP,Sao Tome and Principe,stp,M67_GME_V2,M67_58_STP_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
